PC |OP  |IMM |rs1|rs2|rd 
---------------------------
1   | SW   | 0    | 8   | 7   | 0  
2   | stop | 0    | 0   | 0   | 0  
 
 
 
--------Memory DUMP--------
address|mem-Content
---------------------------
64535  |524288     
64536  |268566656  
64537  |268566656  
64538  |268566656  
64539  |268566656  
64540  |268566656  
64541  |268566656  
64542  |268566656  
64543  |268566656  
64544  |268566656  
64545  |268566656  
64546  |268566656  
64547  |268566656  
64548  |268566656  
64549  |268566656  
64550  |268566656  
64551  |268566656  
64552  |268566656  
64553  |268566656  
64554  |268566656  
64555  |268566656  
64556  |268566656  
64557  |268566656  
64558  |268566656  
64559  |268566656  
64560  |268566656  
64561  |268566656  
64562  |268566656  
64563  |268566656  
64564  |268566656  
64565  |268566656  
64566  |268566656  
64567  |268566656  
64568  |268566656  
64569  |268566656  
64570  |268566656  
64571  |268566656  
64572  |268566656  
64573  |268566656  
64574  |268566656  
64575  |268566656  
64576  |268566656  
64577  |268566656  
64578  |268566656  
64579  |268566656  
64580  |268566656  
64581  |268566656  
64582  |268566656  
64583  |268566656  
64584  |268566656  
64585  |268566656  
64586  |268566656  
64587  |268566656  
64588  |268566656  
64589  |268566656  
64590  |268566656  
64591  |268566656  
64592  |268566656  
64593  |268566656  
64594  |268566656  
64595  |268566656  
64596  |268566656  
64597  |268566656  
64598  |268566656  
64599  |268566656  
64600  |268566656  
64601  |268566656  
64602  |268566656  
64603  |268566656  
64604  |268566656  
64605  |268566656  
64606  |268566656  
64607  |268566656  
64608  |268566656  
64609  |268566656  
64610  |268566656  
64611  |268566656  
64612  |268566656  
64613  |268566656  
64614  |268566656  
64615  |268566656  
64616  |268566656  
64617  |268566656  
64618  |268566656  
64619  |268566656  
64620  |268566656  
64621  |268566656  
64622  |268566656  
64623  |268566656  
64624  |268566656  
64625  |268566656  
64626  |268566656  
64627  |268566656  
64628  |268566656  
64629  |268566656  
64630  |268566656  
64631  |268566656  
64632  |268566656  
64633  |268566656  
64634  |268566656  
64635  |268566656  
64636  |-1878916992
64637  |-1878916992
64638  |-1878916992
64639  |-1878916992
64640  |-1878916992
64641  |-1878916992
64642  |-1878916992
64643  |-1878916992
64644  |-1878916992
64645  |-1878916992
64646  |-1878916992
64647  |-1878916992
64648  |-1878916992
64649  |-1878916992
64650  |-1878916992
64651  |-1878916992
64652  |-1878916992
64653  |-1878916992
64654  |-1878916992
64655  |-1878916992
64656  |-1878916992
64657  |-1878916992
64658  |-1878916992
64659  |-1878916992
64660  |-1878916992
64661  |-1878916992
64662  |-1878916992
64663  |-1878916992
64664  |-1878916992
64665  |-1878916992
64666  |-1878916992
64667  |-1878916992
64668  |-1878916992
64669  |-1878916992
64670  |-1878916992
64671  |-1878916992
64672  |-1878916992
64673  |-1878916992
64674  |-1878916992
64675  |-1878916992
64676  |-1878916992
64677  |-1878916992
64678  |-1878916992
64679  |-1878916992
64680  |-1878916992
64681  |-1878916992
64682  |-1878916992
64683  |-1878916992
64684  |-1878916992
64685  |-1878916992
64686  |-1878916992
64687  |-1878916992
64688  |-1878916992
64689  |-1878916992
64690  |-1878916992
64691  |-1878916992
64692  |-1878916992
64693  |-1878916992
64694  |-1878916992
64695  |-1878916992
64696  |-1878916992
64697  |-1878916992
64698  |-1878916992
64699  |-1878916992
64700  |-1878916992
64701  |-1878916992
64702  |-1878916992
64703  |-1878916992
64704  |-1878916992
64705  |-1878916992
64706  |-1878916992
64707  |-1878916992
64708  |-1878916992
64709  |-1878916992
64710  |-1878916992
64711  |-1878916992
64712  |-1878916992
64713  |-1878916992
64714  |-1878916992
64715  |-1878916992
64716  |-1878916992
64717  |-1878916992
64718  |-1878916992
64719  |-1878916992
64720  |-1878916992
64721  |-1878916992
64722  |-1878916992
64723  |-1878916992
64724  |-1878916992
64725  |-1878916992
64726  |-1878916992
64727  |-1878916992
64728  |-1878916992
64729  |-1878916992
64730  |-1878916992
64731  |-1878916992
64732  |-1878916992
64733  |-1878916992
64734  |-1878916992
64735  |-1878916992
64736  |0          
64737  |0          
64738  |0          
64739  |0          
64740  |0          
64741  |0          
64742  |0          
64743  |0          
64744  |0          
64745  |0          
64746  |0          
64747  |0          
64748  |0          
64749  |0          
64750  |0          
64751  |0          
64752  |0          
64753  |0          
64754  |0          
64755  |0          
64756  |0          
64757  |0          
64758  |0          
64759  |0          
64760  |0          
64761  |0          
64762  |0          
64763  |0          
64764  |0          
64765  |0          
64766  |0          
64767  |0          
64768  |0          
64769  |0          
64770  |0          
64771  |0          
64772  |0          
64773  |0          
64774  |0          
64775  |0          
64776  |0          
64777  |0          
64778  |0          
64779  |0          
64780  |0          
64781  |0          
64782  |0          
64783  |0          
64784  |0          
64785  |0          
64786  |0          
64787  |0          
64788  |0          
64789  |0          
64790  |0          
64791  |0          
64792  |0          
64793  |0          
64794  |0          
64795  |0          
64796  |0          
64797  |0          
64798  |0          
64799  |0          
64800  |0          
64801  |0          
64802  |0          
64803  |0          
64804  |0          
64805  |0          
64806  |0          
64807  |0          
64808  |0          
64809  |0          
64810  |0          
64811  |0          
64812  |0          
64813  |0          
64814  |0          
64815  |0          
64816  |0          
64817  |0          
64818  |0          
64819  |0          
64820  |0          
64821  |0          
64822  |0          
64823  |0          
64824  |0          
64825  |0          
64826  |0          
64827  |0          
64828  |0          
64829  |0          
64830  |0          
64831  |0          
64832  |0          
64833  |0          
64834  |0          
64835  |0          
64836  |0          
64837  |0          
64838  |0          
64839  |0          
64840  |0          
64841  |0          
64842  |0          
64843  |0          
64844  |0          
64845  |0          
64846  |0          
64847  |0          
64848  |0          
64849  |0          
64850  |0          
64851  |0          
64852  |0          
64853  |0          
64854  |0          
64855  |0          
64856  |0          
64857  |0          
64858  |0          
64859  |0          
64860  |0          
64861  |0          
64862  |0          
64863  |0          
64864  |0          
64865  |0          
64866  |0          
64867  |0          
64868  |0          
64869  |0          
64870  |0          
64871  |0          
64872  |0          
64873  |0          
64874  |0          
64875  |0          
64876  |0          
64877  |0          
64878  |0          
64879  |0          
64880  |0          
64881  |0          
64882  |0          
64883  |0          
64884  |0          
64885  |0          
64886  |0          
64887  |0          
64888  |0          
64889  |0          
64890  |0          
64891  |0          
64892  |0          
64893  |0          
64894  |0          
64895  |0          
64896  |0          
64897  |0          
64898  |0          
64899  |0          
64900  |0          
64901  |0          
64902  |0          
64903  |0          
64904  |0          
64905  |0          
64906  |0          
64907  |0          
64908  |0          
64909  |0          
64910  |0          
64911  |0          
64912  |0          
64913  |0          
64914  |0          
64915  |0          
64916  |0          
64917  |0          
64918  |0          
64919  |0          
64920  |0          
64921  |0          
64922  |0          
64923  |0          
64924  |0          
64925  |0          
64926  |0          
64927  |0          
64928  |0          
64929  |0          
64930  |0          
64931  |0          
64932  |0          
64933  |0          
64934  |0          
64935  |0          
64936  |0          
64937  |0          
64938  |0          
64939  |0          
64940  |0          
64941  |0          
64942  |0          
64943  |0          
64944  |0          
64945  |0          
64946  |0          
64947  |0          
64948  |0          
64949  |0          
64950  |0          
64951  |0          
64952  |0          
64953  |0          
64954  |0          
64955  |0          
64956  |0          
64957  |0          
64958  |0          
64959  |0          
64960  |0          
64961  |0          
64962  |0          
64963  |0          
64964  |0          
64965  |0          
64966  |0          
64967  |0          
64968  |0          
64969  |0          
64970  |0          
64971  |0          
64972  |0          
64973  |0          
64974  |0          
64975  |0          
64976  |0          
64977  |0          
64978  |0          
64979  |0          
64980  |0          
64981  |0          
64982  |0          
64983  |0          
64984  |0          
64985  |0          
64986  |0          
64987  |0          
64988  |0          
64989  |0          
64990  |0          
64991  |0          
64992  |0          
64993  |0          
64994  |0          
64995  |0          
64996  |0          
64997  |0          
64998  |0          
64999  |0          
65000  |0          
65001  |0          
65002  |0          
65003  |0          
65004  |0          
65005  |0          
65006  |0          
65007  |0          
65008  |0          
65009  |0          
65010  |0          
65011  |0          
65012  |0          
65013  |0          
65014  |0          
65015  |0          
65016  |0          
65017  |0          
65018  |0          
65019  |0          
65020  |0          
65021  |0          
65022  |0          
65023  |0          
65024  |0          
65025  |0          
65026  |0          
65027  |0          
65028  |0          
65029  |0          
65030  |0          
65031  |0          
65032  |0          
65033  |0          
65034  |0          
65035  |0          
65036  |0          
65037  |0          
65038  |0          
65039  |0          
65040  |0          
65041  |0          
65042  |0          
65043  |0          
65044  |0          
65045  |0          
65046  |0          
65047  |0          
65048  |0          
65049  |0          
65050  |0          
65051  |0          
65052  |0          
65053  |0          
65054  |0          
65055  |0          
65056  |0          
65057  |0          
65058  |0          
65059  |0          
65060  |0          
65061  |0          
65062  |0          
65063  |0          
65064  |0          
65065  |0          
65066  |0          
65067  |0          
65068  |0          
65069  |0          
65070  |0          
65071  |0          
65072  |0          
65073  |0          
65074  |0          
65075  |0          
65076  |0          
65077  |0          
65078  |0          
65079  |0          
65080  |0          
65081  |0          
65082  |0          
65083  |0          
65084  |0          
65085  |0          
65086  |0          
65087  |0          
65088  |0          
65089  |0          
65090  |0          
65091  |0          
65092  |0          
65093  |0          
65094  |0          
65095  |0          
65096  |0          
65097  |0          
65098  |0          
65099  |0          
65100  |0          
65101  |0          
65102  |0          
65103  |0          
65104  |0          
65105  |0          
65106  |0          
65107  |0          
65108  |0          
65109  |0          
65110  |0          
65111  |0          
65112  |0          
65113  |0          
65114  |0          
65115  |0          
65116  |0          
65117  |0          
65118  |0          
65119  |0          
65120  |0          
65121  |0          
65122  |0          
65123  |0          
65124  |0          
65125  |0          
65126  |0          
65127  |0          
65128  |0          
65129  |0          
65130  |0          
65131  |0          
65132  |0          
65133  |0          
65134  |0          
65135  |0          
65136  |0          
65137  |0          
65138  |0          
65139  |0          
65140  |0          
65141  |0          
65142  |0          
65143  |0          
65144  |0          
65145  |0          
65146  |0          
65147  |0          
65148  |0          
65149  |0          
65150  |0          
65151  |0          
65152  |0          
65153  |0          
65154  |0          
65155  |0          
65156  |0          
65157  |0          
65158  |0          
65159  |0          
65160  |0          
65161  |0          
65162  |0          
65163  |0          
65164  |0          
65165  |0          
65166  |0          
65167  |0          
65168  |0          
65169  |0          
65170  |0          
65171  |0          
65172  |0          
65173  |0          
65174  |0          
65175  |0          
65176  |0          
65177  |0          
65178  |0          
65179  |0          
65180  |0          
65181  |0          
65182  |0          
65183  |0          
65184  |0          
65185  |0          
65186  |0          
65187  |0          
65188  |0          
65189  |0          
65190  |0          
65191  |0          
65192  |0          
65193  |0          
65194  |0          
65195  |0          
65196  |0          
65197  |0          
65198  |0          
65199  |0          
65200  |0          
65201  |0          
65202  |0          
65203  |0          
65204  |0          
65205  |0          
65206  |0          
65207  |0          
65208  |0          
65209  |0          
65210  |0          
65211  |0          
65212  |0          
65213  |0          
65214  |0          
65215  |0          
65216  |0          
65217  |0          
65218  |0          
65219  |0          
65220  |0          
65221  |0          
65222  |0          
65223  |0          
65224  |0          
65225  |0          
65226  |0          
65227  |0          
65228  |0          
65229  |0          
65230  |0          
65231  |0          
65232  |0          
65233  |0          
65234  |0          
65235  |0          
65236  |0          
65237  |0          
65238  |0          
65239  |0          
65240  |0          
65241  |0          
65242  |0          
65243  |0          
65244  |0          
65245  |0          
65246  |0          
65247  |0          
65248  |0          
65249  |0          
65250  |0          
65251  |0          
65252  |0          
65253  |0          
65254  |0          
65255  |0          
65256  |0          
65257  |0          
65258  |0          
65259  |0          
65260  |0          
65261  |0          
65262  |0          
65263  |0          
65264  |0          
65265  |0          
65266  |0          
65267  |0          
65268  |0          
65269  |0          
65270  |0          
65271  |0          
65272  |0          
65273  |0          
65274  |0          
65275  |0          
65276  |0          
65277  |0          
65278  |0          
65279  |0          
65280  |0          
65281  |0          
